Last,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext
48.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,7.0,1.0,C1T-2u-3,^C1T-2u-3$,Clausula Vera,G,TCu,1.0,4.0,G3,P1,P8,0.09090909090909091,48.0,36.0
84.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,11.0,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,3.0,G3,P1,P8,0.1590909090909091,36.0,52.0
136.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,18.0,1.0,C1,^C(1|3)$,Quince,G,QC,1.0,3.0,B3,M3,P8,0.25757575757575757,52.0,16.0
152.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,20.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,TCB,1.0,4.0,G3,P1,P8,0.2878787878787879,16.0,72.0
224.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,29.0,1.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,C,zC,1.0,3.0,F3,-M2,P4,0.42424242424242425,72.0,28.0
252.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,32.0,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,tC,1.0,3.0,C4,P4,P4,0.4772727272727273,28.0,34.0
286.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,36.0,4.0,T-2c-1,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,Tc,-1.0,4.0,C4,P4,,0.5416666666666666,34.0,10.0
296.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,38.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,CTB,1.0,3.0,C3,-P5,P4,0.5606060606060606,10.0,32.0
328.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,42.0,1.0,C1t1,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,A,tC,1.0,3.0,A3,M2,M2,0.6212121212121212,32.0,16.0
344.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,44.0,1.0,A1T-2,^A(1|3)T-2x?y?z?$,Altizans Only,A,AT,1.0,4.0,D3,-P4,M2,0.6515151515151515,16.0,16.0
360.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,46.0,1.0,C1T-2x,^C(1|3)T-2x?z?$,Clausula Vera,D,TCx,1.0,2.0,D4,P5,P5,0.6818181818181818,16.0,36.0
396.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,50.0,3.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,A,CT,0.0,4.0,A3,M2,M2,0.75,36.0,4.0
400.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,51.0,1.0,BC2,^BC(2|4)x?z?$,Authentic,D,CtB,0.0,4.0,D3,-P4,P5,0.7575757575757576,4.0,12.0
412.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,52.0,3.0,c-2x,^c-(1|2)xz?$,Abandoned Authentic,,cx,-1.0,2.0,D4,P5,,0.7803030303030303,12.0,28.0
440.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,56.0,1.0,A2T-2,^A(2|4)T-2x?y?z?$,Altizans Only,D,AT,0.0,3.0,G3,P1,P5,0.8333333333333334,28.0,24.0
464.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,59.0,1.0,T-2c-2,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,Tc,-1.0,4.0,A3,M2,,0.8787878787878788,24.0,24.0
488.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,62.0,1.0,C2u-2z,C2u-2z,,D,zCu,,3.0,F3,-M2,P5,0.9242424242424242,24.0,8.0
496.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,63.0,1.0,C2p,^C2p(t1|t2)?$,Evaded Clausula Vera,E,Cp,0.0,3.0,C3,-P5,M6,0.9393939393939394,8.0,16.0
512.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,65.0,1.0,C2b,^C(2|4)b$,Evaded Authentic,A,Cb,1.0,4.0,F3,-M2,M2,0.9696969696969697,16.0,16.0
528.0,Giovanni Pierluigi da Palestrina,Veni sponsa Christi,67.0,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CTB,1.0,4.0,G3,P1,P8,1.0,16.0,16.0
48.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,7.0,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,TC,1.0,4.0,G3,P1,P8,0.08823529411764706,48.0,40.0
88.0,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,12.0,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,G,TC,0.0,3.0,G3,P1,P8,0.16176470588235295,40.0,52.0
