cantus_id,incipit,feast,genre,office,position,mode,folio,sequence,melody,chantlink,office_name,genre_name
004141,Omnibus se invocantibus benignus adest,Nicolai,A,M,2.6,4,215r,,,https://cantusdatabase.org/chant/245439,Matins,Antiphon
004141,Omnibus se*,Nicolai,A,N,,*,218v,,,https://cantusdatabase.org/chant/245471,None,Antiphon
004141,Omnibus se invocantibus benignus adest,Nicolai,A,M,2.6,4,333r,,,https://cantusdatabase.org/chant/252176,Matins,Antiphon
004141,Omnibus se invocantibus*,Nicolai,A,N,,*,336r,,,https://cantusdatabase.org/chant/252212,None,Antiphon
004141,Omnibus se invocantibus,Nicolai,A,M,2.6,*,288v,,,https://cantusdatabase.org/chant/338637,Matins,Antiphon
004141,Omnibus se invocantibus benignus adest,Nicolai,A,M,2.6,4,007v,,,https://cantusdatabase.org/chant/548683,Matins,Antiphon
004141,Omnibus se invocantibus benignus adest,Nicolai,A,M,2.6,4,157v,,1---fE--de--fdc---dc---d--ef--g--de--e---dh--hG--g---hk--hg-gfe---e--g---gh--hgfe--de--e77---efg--fe--d---g--f---gh--gfe--dE---e--e---4---h--g--h--k--g--e---3,https://cantusdatabase.org/chant/231265,Matins,Antiphon
004141,Omnibus se invocantibus benignus adest sanctus ,Nicolai,A,M,2.6,4,198r,,,https://cantusbohemiae.cz/chant/28023,Matins,Antiphon
004141,Omnibus se invocantibus,Nicolai,A,M,2.6,,045v,,,https://cantusdatabase.org/chant/461832,Matins,Antiphon
004141,Omnibus se invocantibus,Nicolai,A,M,2.6,4,060r,,,https://cantusdatabase.org/chant/467788,Matins,Antiphon
004141,Omnibus se invocantibus benignus adest,Nicolai,A,M,2.6,4,004r,,1---fE--de--fdc---dc---d--f7--g--de--e---dh--h--g---hk--hg-gfe---dE--f---gh--hgfe-de--e---efg--fe--dc---g--f---gh--gfe--dE---e--e---4---h--g--h--k--g--e---3,https://cantusdatabase.org/chant/614844,Matins,Antiphon
004141,Omnibus se invocantibus,Nicolai,A,M,2.6,4,149v,,,https://cantusdatabase.org/chant/434985,Matins,Antiphon
a01149,Humiliamini sub potenti manu dei ut ,Pro paenitentibus,A,,,,028r,,,http://musmed.eu/chant/118468,Unknown,Antiphon
