filename,title,author,date,date_start,date_end,citation
POWERTR3_TEXT.html,Treatise upon the Gamme,Leonel Power,15th century,1400,1499,"Manfred Bukofzer, Geschichte des englischen Diskants und des Fauxbourdons nach den theoretischen Quellen, Sammlung musikwissenschaftlicher Abhandlungen, Band 21 (Strassbourg: Heitz, 1936), 132-136. Graphics: POWERTR3 01GF-POWERTR3 12GF Ed. from: London, British Library, Lansdowne 763, ff. 105v-113r."
CHORLAM2_TEXT.html,A Chorister's Lament,Anonymous,14th century,1300,1399,"Moriz Haupt and Heinrich Hoffmann, Altdeutsche Blätter, 2 vols. (Leipzig: F. A. Brockhaus, 1836-1840; reprint ed., Hildesheim: Olms, 1978), 2:145-46. Ed. from: London, British Library, Arundel 292, ff. 70v-71r."
DEPRPC2_TEXT.html,On the three manners of proportions,"Anonymous (""secundum Chilston"")",15th century,1400,1499,"Sanford B. Meech, ""Three Musical Treatises in English From a Fifteenth- Century Manuscript,"" Speculum 10 (1935): 235-69 at 268-69. Used by permission. Ed. from: London, British Library, Lansdowne 763, ff. 120v-122v."
CAXMIR1_TEXT.html,Mirror of the World (excerpt),tr. Caxton Gautier (or Gossouin) de Metz,1481,1400,1499,"Oliver H. Prior, ed., Caxton's Mirrour of the World, Early English Text Society, Extra Series, 110 (London: Richard Clay, 1913; reprint ed., London: Oxford University Press, 1966), 38-40. By permission of Oxford University Press. Ed. from: William Caxton's first printed edition (Westminster, ca. 1481) [STC 24762] Graphics: CAXMIR1 01GF"
DEPRPA3_TEXT.html,On the nature of proportions,Anonymous,15th century,1400,1499,"Sir John Hawkins, A General History of the Science and Practice of Music, 2 vols. [1776] (London: Novello, 1853), 1:250-51."
ITESTO3_TEXT.html,It es to wyte,Anonymous,15th century,1400,1499,"Thrasybulos Georgiades, Englische Diskanttraktate aus der ersten Hälfte des 15. Jahrhunderts: Untersuchungen zur Entwicklung der Mehrstimmigkeit im Mittelalter, Schriftenreihe des Musikwissenschaftlichen Seminars der Universität München, Band 3 (Selbstverlag und Auslieferung: Musikwissenschaftliches Seminar der Universität München, 1937), 27-28. Ed. from: London, British Library, Additional 21455, f. 9r."
DEPRPA1A_MNYPMB12.html,On the nature of proportions,Anonymous,15th century,1400,1499,"New York, The Pierpont Morgan Library, B.12, ff. 63-65. Used by permission."
LEAVPHAR_TEXT.html,Of the Leaven of Pharisees (excerpt),John Wycliffe,14th century,1300,1399,"Frederic D. Matthews, ed., The English Works of Wyclif Hitherto Unprinted, Early English Text Society, orig. ser. 74 (London: Trübner, 1880), 1-27 at 8-9. Ed. from: Cambridge, Corpus Christi College, 290, 6-7"
ANONOTE2_TEXT.html,Notes on Discant and Mensuration,Anonymous,15th century,1400,1499,"Andrew Wathey, ""Notes on Discant and Mensuration from Fifteenth-Century Oxford,"" in Trent'anni di ricerca musicologica: studi in onore di F. Alberto Gallo, ed. Patrizia Dalla Vecchia and Donatella Restani (Rome: Torre d'Orfeo, 1996), 63-72 at 69-71. Graphics: ANONOTE2 01GF Ed. from: Oxford, Bodleian Library, Lat. misc. d. 83, ff. 63-64."
CHORLAM1_MLBLA292.html,A Chorister's Lament,Anonymous,14th century,1300,1399,"London, British Library, Arundel 292, ff. 70v-71r."
