filename,source_type,mei_version,title,title_subordinate,composer_name,composer_auth,composer_auth_uri,composer_codedval,editors,encoding_date,rights,publisher,distributor,genre,encoding_application,work_title,movement_name,source_title,source_composer,source_editor,source_encoder,edition_version,encoding_annot,humdrum_id
Bach_BWV_0772.mei,musescore,5.1+basic,"Invention No. 1 in C major,  BWV 772",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:15,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0773.mei,musescore,5.1+basic,"Invention No. 2 in C minor, BWV 773",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:17,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0774.mei,musescore,5.1+basic,"Invention No. 3 in D major,  BWV 774",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:20,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0775.mei,musescore,5.1+basic,"Invention No. 4 in D minor, BWV 775",,"Bach, Johann Sebastian",,,,,2026-05-08T17:03:51,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0776.mei,musescore,5.1+basic,"Invention No. 5 in E-flat major, BWV 776",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:23,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0777.mei,musescore,5.1+basic,"Invention No. 6 in E major, BWV 777",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:26,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0778.mei,musescore,5.1+basic,"Invention No. 7 in E minor, BWV 778",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:29,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0779.mei,musescore,5.1+basic,"Invention No. 8 in F major, BWV 779",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:32,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0780.mei,musescore,5.1+basic,"Invention No. 9 in F minor, BWV 780",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:34,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0781.mei,musescore,5.1+basic,"Invention No. 10 in G major, BWV 781",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:37,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0782.mei,musescore,5.1+basic,"Invention No. 11 in G minor, BWV 782",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:40,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0783.mei,musescore,5.1+basic,"Invention No. 12 in A major, BWV 783",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:43,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0784.mei,musescore,5.1+basic,"Invention No. 13 in A minor, BWV 784",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:46,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0785.mei,musescore,5.1+basic,"Invention No. 14 in B-flat major, BWV 785",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:49,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bach_BWV_0786.mei,musescore,5.1+basic,"Invention No. 15 in B minor, BWV 786",,"Bach, Johann Sebastian",,,,,2026-05-08T17:00:52,"The content and works published on this website are governed by the copyright laws of Germany. Any duplication, processing, distribution or any form of utilisation beyond the scope of copyright law shall require the prior written consent of the author or authors in question.",,,,,,,,,,,,,
Bartok_Mikrokosmos_101.mei,musescore,5.1+basic,"Diminished Fifths, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:42,,,,,,,,,,,,,,
Bartok_Mikrokosmos_103.mei,musescore,5.1+basic,"Minor and Major, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:43,,,,,,,,,,,,,,
Bartok_Mikrokosmos_104.mei,musescore,5.1+basic,"Wandering through the Keys, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:44,,,,,,,,,,,,,,
Bartok_Mikrokosmos_22.mei,musescore,5.1+basic,"Imitation and Counterpoint, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:45,,,,,,,,,,,,,,
Bartok_Mikrokosmos_23.mei,musescore,5.1+basic,"Imitation and Inversion (1), Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:46,,,,,,,,,,,,,,
Bartok_Mikrokosmos_24.mei,musescore,5.1+basic,"Pastorale, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:47,,,,,,,,,,,,,,
Bartok_Mikrokosmos_25.mei,musescore,5.1+basic,"Imitation and Inversion (2), Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:48,,,,,,,,,,,,,,
Bartok_Mikrokosmos_26.mei,musescore,5.1+basic,"Repetition (2), Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:49,,,,,,,,,,,,,,
Bartok_Mikrokosmos_28.mei,musescore,5.1+basic,"Canon at the Octave, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:50,,,,,,,,,,,,,,
Bartok_Mikrokosmos_29.mei,musescore,5.1+basic,"Imitation Reflected, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:51,,,,,,,,,,,,,,
Bartok_Mikrokosmos_30.mei,musescore,5.1+basic,"Canon at the Lower Fifth, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:52,,,,,,,,,,,,,,
Bartok_Mikrokosmos_31.mei,musescore,5.1+basic,"Little Dance in Canon Form, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:53,,,,,,,,,,,,,,
Bartok_Mikrokosmos_35.mei,musescore,5.1+basic,"Chorale, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:54,,,,,,,,,,,,,,
Bartok_Mikrokosmos_36.mei,musescore,5.1+basic,"Free Canon, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:56,,,,,,,,,,,,,,
Bartok_Mikrokosmos_37.mei,musescore,5.1+basic,"In Lydian Mode, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:57,,,,,,,,,,,,,,
Bartok_Mikrokosmos_39.mei,musescore,5.1+basic,"Staccato and Legato (2, Canon), Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:04:58,,,,,,,,,,,,,,
Bartok_Mikrokosmos_51.mei,musescore,5.1+basic,,,,,,,,2026-05-25T19:04:59,,,,,,,,,,,,,,
Bartok_Mikrokosmos_58.mei,musescore,5.1+basic,"In Oriental Style, Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:05:00,,,,,,,,,,,,,,
Bartok_Mikrokosmos_91.mei,musescore,5.1+basic,"Chromatic Invention (1), Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:05:01,,,,,,,,,,,,,,
Bartok_Mikrokosmos_92.mei,musescore,5.1+basic,"Chromatic Invention (2), Mikrokosmos, Sz. 107",,Béla Bártok,,,,,2026-05-25T19:05:02,,,,,,,,,,,,,,
Morley_1595_01_Go_ye_my_canzonettes.mei,musescore,5.1+basic,,,Thomas Morley,,,,,2026-05-25T19:03:04,©,,,,,,,,,,,,,
Morley_1595_02_When_lo_by_break.mei,musescore,5.1+basic,,,Thomas Morley,,,,,2026-05-25T19:03:05,©,,,,,,,,,,,,,
Morley_1595_03_Sweet_nymph.mei,musescore,5.1+basic,,,Thomas Morley,,,,,2026-05-25T19:03:06,©,,,,,,,,,,,,,
Morley_1595_04_I_go_before.mei,musescore,5.1+basic,,,Thomas Morley,,,,,2026-05-25T19:03:07,©,,,,,,,,,,,,,
Morley_1595_05_Miraculous_loves.mei,musescore,5.1+basic,,,Thomas Morley,,,,,2026-05-25T19:03:09,©,,,,,,,,,,,,,
Morley_1595_06_Lo_hear_another.mei,musescore,5.1+basic,,,Thomas Morley,,,,,2026-05-25T19:03:10,©,,,,,,,,,,,,,
Morley_1595_07_Leave_now_mine_eyes.mei,musescore,5.1+basic,,,Thomas Morley,,,,,2026-05-25T19:03:11,©,,,,,,,,,,,,,
Morley_1595_08_Fire_and_ligthning.mei,musescore,5.1+basic,,,Thoma Morley,,,,,2026-05-25T19:03:12,©,,,,,,,,,,,,,
